Name,Link
"Neal, Minor Avon",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5084
"Neal, Reginald H.",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5085
"Neale, John Preston",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=11562
Neapolitan 15th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=8298
Neapolitan 16th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=8317
Neapolitan 17th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=10214
Neapolitan 19th/20th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=6924
"Nebbia, Cesare",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=2662
"Nechvatal, Joseph",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=20543
"Née, François Denis",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5086
"Neeffs, Jacobus",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5971
"Neeffs, Peeter the Elder",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Pieter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neefs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neel, Alice",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6742
"Neely, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=14695
"Neer, Aernout van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Neer, Aert van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Nefs the Elder, Peeter",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Negker, Jost de",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=36906
"Nègre, Charles",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13432
"Negretti, Jacopo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2671
"Negroli, Gian Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanni Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanpaolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negulesco, Jean",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2663
"Neher, Georg",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=25679
"Neifarer, Ludwig",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neithart, Mathis Gothart",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1362
"Nelli, Giovanni Battista",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19599
"Nelli, Niccolò",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5087
"Nelson, E.G.",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5748
"Nelson, Frank",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7900
"Nelson, George",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7901
"Nelson, Joan",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19105
"Nelson, Lelah",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7902
"Nelson, Leonard",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=26068
"Nelson, Robert Allen",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=23626
"Nemenova, Gerda Mikhailova",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5088
"Nemtzoff, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7903
"Nepras, Karel",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=24842
"Nericault, Philippe",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6994
"Nerly, Friedrich",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13642
